1,1,2024-10-01 10:00:00.0000000,Компьютер,Dell XPS 15,Не включается
2,2,2024-10-02 11:30:00.0000000,Смартфон,iPhone 13,Аккумулятор быстро разряжается
3,3,2024-10-03 12:45:00.0000000,Принтер,HP LaserJet,Не печатает
4,4,2024-10-04 09:15:00.0000000,Ноутбук,Lenovo IdeaPad,Синий экран смерти
5,5,2024-10-05 14:30:00.0000000,Модем,TP-Link Archer,Нет соединения с интернетом
6,6,2024-10-06 15:10:00.0000000,Планшет,Samsung Galaxy Tab,Зависает
7,7,2024-10-07 16:00:00.0000000,Телевизор,LG OLED,Нет изображения
8,8,2024-10-08 17:25:00.0000000,Наушники,Sony WH-1000XM4,Не работает одна из колонок
9,9,2024-10-09 18:40:00.0000000,Кофеварка,DeLonghi EC680,Не греет воду
10,10,2024-10-10 19:50:00.0000000,Холодильник,Samsung RS68N8941SL,Шумит
